Year,Category,Nominee,Film,Winner,Type
2016,Best Director - Motion Picture,Kenneth Lonergan,Manchester by the Sea,False,Golden Globe
2016,Best Director - Motion Picture,Tom Ford,Nocturnal Animals,False,Golden Globe
2016,Best Director - Motion Picture,Mel Gibson,Hacksaw Ridge,False,Golden Globe
2017,Best Director - Motion Picture,Guillermo del Toro,The Shape of Water,True,Golden Globe
2017,Best Director - Motion Picture,Ridley Scott,All The Money In The World,False,Golden Globe
2017,Best Director - Motion Picture,Steven Spielberg,The Post,False,Golden Globe
2017,Best Director - Motion Picture,Martin McDonagh,"Three Billboards Outside Ebbing, Missouri",False,Golden Globe
2017,Best Director - Motion Picture,Christopher Nolan,Dunkirk,False,Golden Globe
2018,Best Director - Motion Picture,Alfonso Cuarón,Roma,True,Golden Globe
2018,Best Director - Motion Picture,Bradley Cooper,"Star Is Born, A (2018)",False,Golden Globe
2018,Best Director - Motion Picture,Peter Farrelly,Green Book,False,Golden Globe
2018,Best Director - Motion Picture,Spike Lee,BlacKkKlansman,False,Golden Globe
2018,Best Director - Motion Picture,Adam McKay,Vice,False,Golden Globe
2019,Best Director - Motion Picture,Sam Mendes,1917,True,Golden Globe
2019,Best Director - Motion Picture,Bong Joon Ho,Parasite,False,Golden Globe
2019,Best Director - Motion Picture,Todd Phillips,Joker,False,Golden Globe
2019,Best Director - Motion Picture,Martin Scorsese,"Irishman, The",False,Golden Globe
2019,Best Director - Motion Picture,Quentin Tarantino,Once Upon a Time...in Hollywood,False,Golden Globe
