Year,Award,Winner,Film,Nominee,Type
1949,Directing,False,Battleground,William A. Wellman,Academy Award
1949,Directing,False,The Fallen Idol,Carol Reed,Academy Award
1949,Directing,False,The Heiress,William Wyler,Academy Award
1949,Directing,True,A Letter to Three Wives,Joseph L. Mankiewicz,Academy Award
1950,Directing,True,All about Eve,Joseph L. Mankiewicz,Academy Award
1950,Directing,False,The Asphalt Jungle,John Huston,Academy Award
1950,Directing,False,Born Yesterday,George Cukor,Academy Award
1950,Directing,False,Sunset Blvd.,Billy Wilder,Academy Award
1950,Directing,False,The Third Man,Carol Reed,Academy Award
1951,Directing,False,The African Queen,John Huston,Academy Award
1951,Directing,False,An American in Paris,Vincente Minnelli,Academy Award
1951,Directing,False,Detective Story,William Wyler,Academy Award
1951,Directing,True,A Place in the Sun,George Stevens,Academy Award
1951,Directing,False,A Streetcar Named Desire,Elia Kazan,Academy Award
1952,Directing,False,Five Fingers,Joseph L. Mankiewicz,Academy Award
1952,Directing,False,The Greatest Show on Earth,Cecil B. DeMille,Academy Award
1952,Directing,False,High Noon,Fred Zinnemann,Academy Award
1952,Directing,False,Moulin Rouge,John Huston,Academy Award
1952,Directing,True,The Quiet Man,John Ford,Academy Award
1953,Directing,True,From Here to Eternity,Fred Zinnemann,Academy Award
1953,Directing,False,Lili,Charles Walters,Academy Award
1953,Directing,False,Roman Holiday,William Wyler,Academy Award
1953,Directing,False,Shane,George Stevens,Academy Award
1953,Directing,False,Stalag 17,Billy Wilder,Academy Award
1954,Directing,False,The Country Girl,George Seaton,Academy Award
1954,Directing,False,The High and the Mighty,William Wellman,Academy Award
1954,Directing,True,On the Waterfront,Elia Kazan,Academy Award
1954,Directing,False,Rear Window,Alfred Hitchcock,Academy Award
1954,Directing,False,Sabrina,Billy Wilder,Academy Award
1955,Directing,False,Bad Day at Black Rock,John Sturges,Academy Award
1955,Directing,False,East of Eden,Elia Kazan,Academy Award
1955,Directing,True,Marty,Delbert Mann,Academy Award
1955,Directing,False,Picnic,Joshua Logan,Academy Award
1955,Directing,False,Summertime,David Lean,Academy Award
1956,Directing,False,Around the World in 80 Days,Michael Anderson,Academy Award
1956,Directing,False,Friendly Persuasion,William Wyler,Academy Award
1956,Directing,True,Giant,George Stevens,Academy Award
1956,Directing,False,The King and I,Walter Lang,Academy Award
1956,Directing,False,War and Peace,King Vidor,Academy Award
1957,Directing,True,The Bridge on the River Kwai,David Lean,Academy Award
1957,Directing,False,Peyton Place,Mark Robson,Academy Award
1957,Directing,False,Sayonara,Joshua Logan,Academy Award
1957,Directing,False,12 Angry Men,Sidney Lumet,Academy Award
1957,Directing,False,Witness for the Prosecution,Billy Wilder,Academy Award
1958,Directing,False,Cat on a Hot Tin Roof,Richard Brooks,Academy Award
1958,Directing,False,The Defiant Ones,Stanley Kramer,Academy Award
1958,Directing,True,Gigi,Vincente Minnelli,Academy Award
1958,Directing,False,I Want to Live!,Robert Wise,Academy Award
1958,Directing,False,The Inn of the Sixth Happiness,Mark Robson,Academy Award
1959,Directing,True,Ben-Hur,William Wyler,Academy Award
