Year,Award,Winner,Film,Nominee,Type
2017,Directing,True,The Shape of Water,Guillermo del Toro	,Academy Award
2017,Directing,False,Phantom Thread,Paul Thomas Anderson	,Academy Award
2017,Directing,False,Lady Bird,Greta Gerwig	,Academy Award
2017,Directing,False,Dunkirk,Christopher Nolan	,Academy Award
2017,Directing,False,Get Out,Jordan Peele	,Academy Award
2018,Directing,True,Roma,Alfonso Cuarón	,Academy Award
2018,Directing,False,The Favourite,Yorgos Lanthimos	,Academy Award
2018,Directing,False,BlacKkKlansman,Spike Lee	,Academy Award
2018,Directing,False,Vice,Adam McKay	,Academy Award
2018,Directing,False,Cold War,Paweł Pawlikowski	,Academy Award
2019,Directing,True,Parasite,Bong Joon-ho	,Academy Award
2019,Directing,False,1917,Sam Mendes	,Academy Award
2019,Directing,False,Joker,Todd Phillips	,Academy Award
2019,Directing,False,The Irishman,Martin Scorsese	,Academy Award
2019,Directing,False,Once Upon a Time in Hollywood,Quentin Tarantino	,Academy Award
